"","x"
"1",20
"2",36
"3",23
"4",16
"5",23
"6",12
"7",12
"8",10
"9",30
"10",10
"11",8
"12",17
"13",23
"14",15
"15",24
"16",27
"17",19
"18",30
"19",19
"20",7
"21",17
"22",21
"23",8
"24",9
"25",28
"26",31
"27",27
"28",23
"29",16
"30",19
"31",18
"32",6
"33",29
"34",8
"35",23
"36",23
"37",25
"38",9
"39",7
"40",28
"41",32
"42",28
"43",30
"44",8
"45",9
"46",16
"47",16
"48",11
"49",14
"50",15
"51",17
"52",16
"53",27
"54",19
"55",28
"56",20
"57",21
"58",18
"59",16
"60",21
"61",9
"62",27
"63",13
"64",17
"65",10
"66",16
"67",17
"68",26
"69",10
"70",15
"71",25
"72",23
"73",22
"74",15
"75",20
"76",16
"77",6
"78",16
"79",14
"80",29
"81",10
"82",13
"83",17
"84",33
"85",25
"86",11
"87",23
"88",21
"89",9
"90",8
"91",21
"92",17
"93",17
"94",23
"95",17
"96",17
"97",13
"98",31
"99",31
"100",15
"101",35
"102",4
"103",2
"104",6
"105",10
"106",18
"107",10
"108",1
"109",8
"110",8
"111",1
"112",2
"113",3
"114",8
"115",3
"116",3
"117",5
"118",9
"119",2
"120",8
"121",4
"122",2
"123",10
"124",13
"125",0
"126",7
"127",7
"128",10
"129",13
"130",3
"131",13
"132",15
"133",9
"134",4
"135",10
"136",4
"137",1
"138",5
"139",5
"140",9
"141",4
"142",10
"143",3
"144",4
"145",6
"146",1
"147",3
"148",7
"149",16
"150",2
"151",7
"152",13
"153",14
"154",8
"155",4
"156",1
"157",5
"158",3
"159",4
"160",5
"161",6
"162",6
"163",1
"164",6
"165",2
"166",6
"167",10
"168",6
"169",14
"170",1
"171",5
"172",7
"173",9
"174",5
"175",7
"176",7
"177",2
"178",3
"179",8
"180",2
"181",5
"182",3
"183",7
"184",4
"185",5
"186",4
"187",4
"188",0
"189",2
"190",5
"191",3
"192",7
"193",9
"194",7
"195",3
"196",2
"197",1
"198",4
"199",6
"200",11
"201",4
"202",6
"203",8
"204",25
"205",26
"206",3
"207",3
"208",5
"209",2
"210",7
"211",3
"212",0
"213",12
"214",10
"215",11
"216",1
"217",1
"218",7
"219",5
"220",6
"221",6
"222",7
"223",12
"224",2
"225",1
"226",8
"227",5
"228",10
"229",7
"230",3
"231",11
"232",0
"233",2
"234",6
"235",10
"236",2
"237",3
"238",1
"239",5
"240",5
"241",15
"242",1
"243",3
"244",11
"245",12
"246",4
"247",12
"248",5
"249",8
"250",12
"251",16
"252",14
"253",6
"254",3
"255",7
"256",8
"257",4
"258",6
"259",4
"260",16
"261",1
"262",11
"263",4
"264",6
"265",3
"266",2
"267",5
"268",20
"269",3
"270",1
"271",2
"272",4
"273",3
"274",17
"275",15
"276",7
"277",3
"278",8
"279",9
"280",10
"281",6
"282",9
"283",7
"284",1
"285",2
"286",6
"287",2
"288",13
"289",5
"290",1
"291",3
"292",21
"293",1
"294",3
"295",4
"296",20
"297",9
"298",3
"299",3
"300",3
"301",13
"302",17
"303",2
"304",11
"305",6
"306",8
"307",0
"308",6
"309",13
"310",4
"311",14
"312",7
"313",16
"314",10
"315",3
"316",12
"317",13
"318",2
"319",8
"320",9
"321",4
"322",3
"323",9
"324",1
"325",5
"326",4
"327",2
"328",6
"329",13
"330",6
"331",6
"332",1
"333",7
"334",3
"335",9
"336",6
"337",1
"338",1
"339",15
"340",6
"341",7
"342",8
"343",5
"344",7
"345",8
"346",3
"347",7
"348",5
"349",7
"350",3
"351",11
"352",3
"353",6
"354",8
"355",7
"356",9
"357",6
"358",6
"359",2
"360",5
"361",7
"362",5
"363",6
"364",12
"365",7
"366",7
"367",16
"368",8
"369",2
"370",9
"371",5
"372",3
"373",19
"374",1
"375",9
"376",6
"377",4
"378",4
"379",5
"380",20
"381",2
"382",3
"383",3
"384",10
"385",14
"386",15
"387",15
"388",4
"389",1
"390",8
"391",3
"392",11
"393",7
"394",9
"395",5
"396",3
"397",7
"398",8
"399",8
"400",1
"401",9
"402",15
"403",9
"404",2
"405",17
"406",13
"407",2
"408",10
"409",2
"410",6
"411",11
"412",4
"413",3
"414",8
"415",2
"416",3
"417",6
"418",6
"419",9
"420",8
"421",5
"422",5
"423",16
"424",7
"425",1
"426",12
"427",9
"428",5
"429",7
"430",8
"431",7
"432",5
"433",3
"434",3
"435",8
"436",4
"437",10
"438",2
"439",2
"440",6
"441",3
"442",10
"443",4
"444",17
"445",5
"446",9
"447",19
"448",9
"449",1
"450",15
"451",0
"452",3
"453",5
"454",12
"455",6
"456",9
"457",3
"458",1
"459",4
"460",5
"461",0
"462",4
"463",9
"464",4
"465",8
"466",4
"467",6
"468",8
"469",12
"470",14
"471",8
"472",20
"473",5
"474",4
"475",4
"476",2
"477",3
"478",11
"479",8
"480",6
"481",4
"482",3
"483",6
"484",3
"485",1
"486",9
"487",2
"488",4
"489",8
"490",15
"491",7
"492",6
"493",6
"494",3
"495",5
"496",6
"497",4
"498",6
"499",3
"500",7
"501",3
"502",8
"503",3
"504",4
"505",3
"506",15
"507",9
"508",5
"509",6
"510",4
"511",0
"512",7
"513",4
"514",1
"515",4
"516",2
"517",4
"518",1
"519",0
"520",1
"521",2
"522",6
"523",4
"524",5
"525",1
"526",11
"527",10
"528",5
"529",4
"530",5
"531",8
"532",3
"533",5
"534",5
"535",10
"536",4
"537",2
"538",5
"539",6
"540",11
"541",4
"542",3
"543",5
"544",4
"545",6
"546",1
"547",3
"548",1
"549",1
"550",2
"551",19
"552",2
"553",8
"554",10
"555",0
"556",4
"557",9
"558",10
"559",8
"560",2
"561",5
"562",12
"563",5
"564",1
"565",2
"566",6
"567",16
"568",1
"569",2
"570",8
"571",10
"572",6
"573",3
"574",3
"575",5
"576",7
"577",7
"578",5
"579",4
"580",5
"581",12
"582",13
"583",6
"584",8
"585",5
"586",3
"587",8
"588",5
"589",9
"590",7
"591",2
"592",6
"593",9
"594",2
"595",8
"596",5
"597",11
"598",12
"599",12
"600",9
"601",7
"602",20
"603",13
"604",7
"605",6
"606",1
"607",2
"608",5
"609",7
"610",5
"611",4
"612",11
"613",12
"614",2
"615",3
"616",7
"617",5
"618",5
"619",2
"620",4
"621",12
"622",1
"623",14
"624",1
"625",2
"626",12
"627",5
"628",4
"629",10
"630",7
"631",12
"632",4
"633",9
"634",12
"635",4
"636",10
"637",7
"638",13
"639",9
"640",12
"641",14
"642",5
"643",8
"644",6
"645",5
"646",1
"647",4
"648",5
"649",8
"650",6
"651",11
"652",10
"653",7
"654",1
"655",14
"656",7
"657",3
"658",9
"659",3
"660",2
"661",6
"662",15
"663",7
"664",9
"665",1
"666",10
"667",8
"668",4
"669",3
"670",15
"671",13
"672",3
"673",6
"674",1
"675",7
"676",15
"677",3
"678",8
"679",8
"680",13
"681",4
"682",11
"683",4
"684",2
"685",5
"686",10
"687",2
"688",2
"689",0
"690",14
"691",8
"692",2
"693",13
"694",4
"695",6
"696",8
"697",3
"698",16
"699",12
"700",1
"701",7
"702",13
"703",3
"704",10
"705",8
"706",5
"707",14
"708",5
"709",4
"710",6
"711",3
"712",1
"713",8
"714",1
"715",8
"716",2
"717",8
"718",1
"719",4
"720",12
"721",5
"722",6
"723",5
"724",9
"725",10
"726",2
"727",5
"728",11
"729",6
"730",6
"731",3
"732",6
"733",16
"734",3
"735",4
"736",4
"737",11
"738",17
"739",1
"740",0
"741",2
"742",2
"743",7
"744",8
"745",6
"746",11
"747",8
"748",14
"749",22
"750",5
"751",8
"752",5
"753",0
"754",4
"755",4
"756",1
"757",2
"758",8
"759",8
"760",3
"761",5
"762",5
"763",10
"764",6
"765",9
"766",2
"767",4
"768",8
"769",12
"770",8
"771",7
"772",8
"773",6
"774",2
"775",12
"776",8
"777",6
"778",2
"779",12
"780",20
"781",6
"782",3
"783",9
"784",6
"785",15
"786",3
"787",3
"788",1
"789",5
"790",1
"791",7
"792",4
"793",7
"794",4
"795",5
"796",5
"797",8
"798",3
"799",5
"800",12
"801",3
"802",10
"803",4
"804",7
"805",3
"806",1
"807",9
"808",5
"809",9
"810",16
"811",9
"812",6
"813",5
"814",9
"815",5
"816",6
"817",8
"818",2
"819",8
"820",6
"821",0
"822",8
"823",12
"824",7
"825",10
"826",5
"827",2
"828",2
"829",5
"830",6
"831",4
"832",3
"833",1
"834",8
"835",1
"836",1
"837",3
"838",14
"839",8
"840",7
"841",8
"842",13
"843",6
"844",14
"845",10
"846",6
"847",15
"848",1
"849",8
"850",12
"851",6
"852",14
"853",5
"854",6
"855",10
"856",11
"857",6
"858",6
"859",7
"860",10
"861",4
"862",5
"863",3
"864",4
"865",11
"866",5
"867",8
"868",3
"869",6
"870",8
"871",4
"872",6
"873",7
"874",6
"875",1
"876",18
"877",1
"878",7
"879",4
"880",8
"881",7
"882",3
"883",4
"884",2
"885",4
"886",2
"887",20
"888",2
"889",2
"890",33
"891",1
"892",10
"893",6
"894",5
"895",1
"896",7
"897",3
"898",1
"899",1
"900",6
"901",2
"902",13
"903",6
"904",13
"905",5
"906",5
"907",10
"908",22
"909",6
"910",4
"911",5
"912",7
"913",1
"914",2
"915",15
"916",8
"917",30
"918",2
"919",4
"920",23
"921",5
"922",21
"923",8
"924",6
"925",8
"926",3
"927",5
"928",3
"929",12
"930",6
"931",8
"932",2
"933",14
"934",3
"935",6
"936",9
"937",8
"938",10
"939",10
"940",9
"941",7
"942",3
"943",1
"944",6
"945",2
"946",6
"947",6
"948",5
"949",6
"950",6
"951",4
"952",1
"953",3
"954",13
"955",5
"956",4
"957",5
"958",3
"959",9
"960",11
"961",8
"962",21
"963",5
"964",4
"965",3
"966",9
"967",6
"968",3
"969",7
"970",8
"971",5
"972",3
"973",13
"974",7
"975",5
"976",3
"977",1
"978",11
"979",17
"980",4
"981",12
"982",4
"983",5
"984",3
"985",8
"986",3
"987",3
"988",4
"989",4
"990",2
"991",16
"992",5
"993",6
"994",10
"995",1
"996",4
"997",3
"998",9
"999",7
"1000",11
"1001",7
"1002",2
"1003",14
"1004",8
"1005",13
"1006",3
"1007",7
"1008",9
"1009",7
"1010",4
"1011",5
"1012",11
"1013",3
"1014",3
"1015",2
"1016",4
"1017",6
"1018",8
"1019",1
"1020",2
"1021",6
"1022",7
"1023",4
"1024",2
"1025",8
"1026",4
"1027",5
"1028",10
"1029",8
"1030",9
"1031",5
"1032",11
"1033",9
"1034",10
"1035",20
"1036",4
"1037",10
"1038",4
"1039",2
"1040",13
"1041",15
"1042",18
"1043",3
"1044",4
"1045",2
"1046",1
"1047",22
"1048",5
"1049",1
"1050",8
"1051",6
"1052",3
"1053",2
"1054",3
"1055",5
"1056",3
"1057",1
"1058",13
"1059",2
"1060",5
"1061",10
"1062",7
"1063",18
"1064",1
"1065",4
"1066",5
"1067",9
"1068",1
"1069",1
"1070",9
"1071",3
"1072",6
"1073",9
"1074",4
"1075",4
"1076",20
"1077",18
"1078",3
"1079",6
"1080",1
"1081",6
"1082",2
"1083",4
"1084",9
"1085",3
"1086",10
"1087",12
"1088",8
"1089",9
"1090",5
"1091",2
