"","x"
"1",10
"2",23
"3",11
"4",6
"5",3
"6",12
"7",4
"8",28
"9",9
"10",9
"11",18
"12",6
"13",7
"14",19
"15",24
"16",2
"17",7
"18",4
"19",15
"20",14
"21",10
"22",23
"23",11
"24",6
"25",20
"26",1
"27",22
"28",11
"29",8
"30",17
"31",21
"32",8
"33",28
"34",7
"35",8
"36",11
"37",19
"38",0
"39",5
"40",5
"41",10
"42",39
"43",7
"44",13
"45",13
"46",12
"47",18
"48",7
"49",4
"50",31
"51",31
"52",4
"53",24
"54",5
"55",4
"56",24
"57",13
"58",1
"59",18
"60",12
"61",4
"62",9
"63",7
"64",12
"65",8
"66",2
"67",22
"68",15
"69",12
"70",25
"71",18
"72",15
"73",4
"74",5
"75",9
"76",20
"77",6
"78",9
"79",6
"80",17
"81",13
"82",22
"83",10
"84",30
"85",4
"86",2
"87",7
"88",7
"89",7
"90",10
"91",10
"92",11
"93",8
"94",19
"95",11
"96",10
"97",12
"98",4
"99",14
"100",11
"101",7
"102",5
"103",5
"104",20
"105",11
"106",17
"107",13
"108",3
"109",30
"110",14
"111",8
"112",19
"113",15
"114",20
"115",20
"116",11
"117",7
"118",11
"119",3
"120",5
"121",8
"122",22
"123",21
"124",13
"125",2
"126",4
"127",21
"128",0
"129",32
"130",31
"131",4
"132",8
"133",19
"134",7
"135",7
"136",3
"137",10
"138",10
"139",4
"140",14
"141",1
"142",8
"143",11
"144",17
"145",6
"146",2
"147",5
"148",4
"149",11
"150",2
"151",2
"152",4
"153",16
"154",4
"155",7
"156",9
"157",22
"158",7
"159",11
"160",12
"161",8
"162",10
"163",18
"164",6
"165",1
"166",1
"167",10
"168",7
"169",4
"170",7
"171",6
"172",5
"173",7
"174",10
"175",20
"176",5
"177",3
"178",6
"179",5
"180",22
"181",6
"182",4
"183",16
"184",23
"185",12
"186",11
"187",6
"188",5
"189",17
"190",3
"191",11
"192",8
"193",8
"194",4
"195",7
"196",8
"197",21
"198",3
"199",24
"200",13
"201",7
"202",7
"203",19
"204",4
"205",17
"206",5
"207",5
"208",12
"209",10
"210",3
"211",18
"212",25
"213",10
"214",5
"215",7
"216",9
"217",18
"218",6
"219",7
"220",3
"221",6
"222",5
"223",23
"224",6
"225",10
"226",8
"227",7
"228",2
"229",13
"230",6
"231",16
"232",4
"233",5
"234",3
"235",10
"236",6
"237",2
"238",4
"239",19
"240",15
"241",3
"242",5
"243",20
"244",13
"245",14
"246",18
"247",2
"248",9
"249",7
"250",23
"251",20
"252",4
"253",1
"254",2
"255",10
"256",10
"257",22
"258",6
"259",10
"260",27
"261",17
"262",7
"263",6
"264",17
"265",4
"266",7
"267",12
"268",24
"269",5
"270",16
"271",5
"272",6
"273",20
"274",11
"275",12
"276",5
"277",5
"278",16
"279",10
"280",2
"281",16
"282",2
"283",11
"284",4
"285",9
"286",7
"287",7
"288",12
"289",18
"290",11
"291",6
"292",11
"293",24
"294",15
"295",2
"296",11
"297",14
"298",19
"299",21
"300",14
"301",2
"302",7
"303",4
"304",12
"305",7
"306",10
"307",18
"308",8
"309",7
"310",1
"311",11
"312",10
"313",3
"314",23
"315",19
"316",0
"317",15
"318",11
"319",6
"320",3
"321",2
"322",9
"323",3
"324",4
"325",2
"326",3
"327",11
"328",4
"329",13
"330",18
"331",4
"332",6
"333",18
"334",1
"335",3
"336",3
"337",8
"338",12
"339",6
"340",13
"341",8
"342",13
"343",4
"344",11
"345",4
"346",0
"347",12
"348",5
"349",11
"350",9
"351",5
"352",26
"353",24
"354",13
"355",6
"356",15
"357",3
"358",8
"359",2
"360",4
"361",4
"362",22
"363",7
"364",7
"365",9
"366",3
"367",13
"368",27
"369",7
